title,scriptUrl,languageName,bestPublicScore,isGpuEnabled,lastRunExecutionTimeSeconds,medal,totalComments,totalForks,totalViews,totalVotes,beginner,classification,data cleaning,data visualization,decision tree,deep learning,eda,ensembling,feature engineering,gradient boosting,lgbt,optimization,pipeline code,regression,regression analysis,starter code,tabular data,tutorial,utility script
ASHRAE: Half and Half,https://www.kaggle.com/rohanrao/ashrae-half-and-half,Python,1.1,False,3115,gold,72,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🔌⚡ASHRAE -Start Here: A GENTLE Introduction,https://www.kaggle.com/caesarlupum/ashrae-start-here-a-gentle-introduction,Python,,False,916,gold,179,0,0,721,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
EDA for ASHRAE ,https://www.kaggle.com/nroman/eda-for-ashrae,Python,,False,779,gold,45,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Training LGBM by meter type,https://www.kaggle.com/corochann/ashrae-training-lgbm-by-meter-type,Python,1.121,False,3382,gold,53,0,0,277,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
ASHRAE- KFold LightGBM - without leak (1.08),https://www.kaggle.com/aitude/ashrae-kfold-lightgbm-without-leak-1-08,Python,1.08,False,3830,gold,43,0,0,219,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
ASHRAE: Leak Validation and more,https://www.kaggle.com/yamsam/ashrae-leak-validation-and-more,Python,0.99,False,524,gold,22,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Divide and Conquer,https://www.kaggle.com/rohanrao/ashrae-divide-and-conquer,Python,1.04,False,2281,gold,19,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Leak Data Station,https://www.kaggle.com/yamsam/ashrae-leak-data-station,Python,,False,93,gold,34,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE Leak Validation BruteForce Heuristic Search,https://www.kaggle.com/khoongweihao/ashrae-leak-validation-bruteforce-heuristic-search,Python,0.97,False,2623,gold,26,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: EDA + FE + LightGBM (1.12),https://www.kaggle.com/kaushal2896/ashrae-eda-fe-lightgbm-1-12,Python,1.12,False,2070,gold,45,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simple Exploration Notebook - ASHRAE,https://www.kaggle.com/sudalairajkumar/simple-exploration-notebook-ashrae,Python,,False,113,gold,24,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashrae: simple data cleanup (LB 1.08 no leaks),https://www.kaggle.com/purist1024/ashrae-simple-data-cleanup-lb-1-08-no-leaks,Python,1.08,False,816,gold,43,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE-Stacking Method,https://www.kaggle.com/grapestone5321/ashrae-stacking-method,Python,1.09,False,1926,silver,12,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashrae Energy Prediction using Stratified KFold,https://www.kaggle.com/roydatascience/ashrae-energy-prediction-using-stratified-kfold,Python,1.074,False,25702,silver,18,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 ASHRAE blended,https://www.kaggle.com/hmendonca/4-ashrae-blended,Python,1.09,False,476,silver,13,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shapley Values for Feature selection ASHRAE,https://www.kaggle.com/hmendonca/shapley-values-for-feature-selection-ashrae,Python,1.23,False,5887,gold,18,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Highway Kernel Route2,https://www.kaggle.com/yamsam/ashrae-highway-kernel-route2,Python,1.03,False,3047,silver,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
⚡🔌ASHRAE - LigthGBM simple FE,https://www.kaggle.com/caesarlupum/ashrae-ligthgbm-simple-fe,Python,1.21,False,2032,silver,57,0,0,62,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Starter EDA and Feature selection ASHRAE3,https://www.kaggle.com/hmendonca/starter-eda-and-feature-selection-ashrae3,Python,1.24,False,28194,gold,29,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE Catboost Regressor,https://www.kaggle.com/bejeweled/ashrae-catboost-regressor,Python,1.35,True,27179,silver,8,0,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
ASHRAE - Data minification,https://www.kaggle.com/kyakovlev/ashrae-data-minification,Python,,False,206,silver,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - UCF Spider and EDA (Full Test Labels),https://www.kaggle.com/gunesevitan/ashrae-ucf-spider-and-eda-full-test-labels,Python,,True,1175,gold,16,0,0,151,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ASHRAE - Great Energy Predictor III- EDA&Model,https://www.kaggle.com/kulkarnivishwanath/ashrae-great-energy-predictor-iii-eda-model,Python,1.103,False,11156,silver,26,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Catboost,https://www.kaggle.com/kyakovlev/ashrae-catboost,Python,1.23,True,9472,silver,10,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Maybe this can make public LB some useful ,https://www.kaggle.com/wuliaokaola/ashrae-maybe-this-can-make-public-lb-some-useful,Python,1.01,False,396,gold,13,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: feather format for fast loading,https://www.kaggle.com/corochann/ashrae-feather-format-for-fast-loading,Python,,False,90,silver,10,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - CV options,https://www.kaggle.com/kyakovlev/ashrae-cv-options,Python,,False,6350,silver,15,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE:1.1 to 1.06 with UCL,https://www.kaggle.com/yixinchen1/ashrae-1-1-to-1-06-with-ucl,Python,1.06,False,1518,silver,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE 3 LightGBM,https://www.kaggle.com/hiteshsom/ashrae-3-lightgbm,Python,1.11,False,2087,bronze,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Baseline LGBM,https://www.kaggle.com/kyakovlev/ashrae-baseline-lgbm,Python,1.3599999999999999,False,14336,bronze,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Great Energy Insightful EDA + FE & LGBM ,https://www.kaggle.com/vikassingh1996/ashrae-great-energy-insightful-eda-fe-lgbm,Python,1.3599999999999999,False,5188,silver,18,0,0,69,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ASHRAE - LGBM simple FE,https://www.kaggle.com/kyakovlev/ashrae-lgbm-simple-fe,Python,1.22,False,11868,bronze,8,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Highway Kernel Route1,https://www.kaggle.com/yamsam/ashrae-highway-kernel-route1,Python,1.07,False,4995,silver,11,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE Leak Validation Gradient Descent Search,https://www.kaggle.com/barnrang/ashrae-leak-validation-gradient-descent-search,Python,0.97,True,626,bronze,10,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Hyperparameter Tuning,https://www.kaggle.com/aitude/ashrae-hyperparameter-tuning,Python,,False,1315,bronze,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Missing Weather Data Handling,https://www.kaggle.com/aitude/ashrae-missing-weather-data-handling,Python,,False,138,silver,7,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE- Stratified KFold LightGBM,https://www.kaggle.com/roydatascience/ashrae-stratified-kfold-lightgbm,Python,1.075,False,10597,bronze,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LightGBM + FE (1.19) ,https://www.kaggle.com/isaienkov/lightgbm-fe-1-19,Python,2.053,False,4605,gold,63,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Highway Kernel Route4,https://www.kaggle.com/yamsam/ashrae-highway-kernel-route4,Python,,False,2169,bronze,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE-site15-cornell,https://www.kaggle.com/pp2file/ashrae-site15-cornell,Python,,False,880,silver,12,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Prophet's Prophecy,https://www.kaggle.com/rohanrao/ashrae-prophet-s-prophecy,Python,,False,1513,bronze,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Interactive building energy browser,https://www.kaggle.com/juanmah/ashrae-interactive-building-energy-browser,Python,,False,20,bronze,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
